AuthorID,AuthorName,WeightedReadScore,TotalPages
584,Pat Frank,4.9,323
218,Daniel Keyes,4.9,311
80,Matt Ruff,4.9,329
44,William Peter Blatty,4.858868501529052,654
573,J. R. R. Tolkien,4.834827175208582,1678
317,Art Spiegelman,4.83,296
326,Akiyuki Nosaka,4.81,18
333,Annie Jacobsen,4.8,416
26,Bram Stoker,4.8,488
38,Octavia E. Butler,4.799302325581396,645
17,Junot Díaz,4.75,335
136,Mary W. Shelley,4.75,260
100,Richard L. Tierney,4.75,36
188,Arkady Strugatsky,4.7,145
547,Alejandro Jodorowsky,4.7,307
51,Nevil Shute,4.7,296
578,Boris Strugatsky,4.7,145
640,Ira Levin,4.7,308
36,Margaret Atwood,4.7,314
353,David M. Ewalt,4.7,276
696,Cixin Liu,4.686550435865505,1606
575,John Langan,4.685273972602739,292
43,William Gibson,4.674625000000001,480
93,Ted Chiang,4.629892141756549,649
760,Will Murray,4.6,20
709,James Tynion IV,4.551470588235294,544
759,Ken Asamatsu,4.55,19
638,Philip Fracassi,4.55,335
772,Maureen F. McHugh,4.55,313
21,Arthur C. Clarke,4.541141374837873,771
784,Tara Westover,4.5,352
762,Darrell Schweitzer,4.5,11
161,Grady Hendrix,4.5,254
652,Richard Preston,4.5,352
448,Elizabeth Kolbert,4.5,336
487,Liliana Heker,4.5,272
266,Carl Sagan,4.5,375
462,H. G. Wells,4.495483870967742,310
30,Frank Herbert,4.459698492462312,995
339,Jason Schreier,4.4,353
570,Alfred Lansing,4.4,282
29,Dan Simmons,4.395859062840537,2753
23,Jorge Luis Borges,4.38422712933754,317
34,Ken Follett,4.364495001723544,2901
756,Ian Watson,4.35,29
99,Walter Isaacson,4.320360631104433,1331
20,Andrzej Sapkowski,4.269217330538085,2862
376,Douglas Coupland,4.25,466
150,Jack Ketchum,4.25,370
730,Charles Petzold,4.25,396
400,David Mazzucchelli,4.25,144
239,Frank Miller,4.25,144
19,Alan Moore,4.246898638426626,1322
665,Taylor Jenkins Reid,4.2,307
8,Adolfo Bioy Casares,4.2,112
159,Emily St. John Mandel,4.2,333
337,Michael Witwer,4.2,302
476,Ann Rule,4.2,618
741,J. D. Salinger,4.2,234
507,Philip Roth,4.2,391
2,Stephen King,4.168731373520011,22213
201,Paul Theroux,4.1677461139896375,772
334,Kurt Vonnegut,4.158728179551122,802
40,Ray Bradbury,4.155449101796408,1670
750,Elizabeth Engstrom,4.15,65
16,Ursula K. Le Guin,4.144076607387142,731
39,Philip K. Dick,4.118912901113294,1527
61,Blake Crouch,4.1,352
138,Elizabeth Kostova,4.1,704
31,George R. R. Martin,4.080305159606505,4981
768,Ty Franck,4.076780626780627,1755
767,Daniel Abraham,4.076780626780627,1755
677,Michael Chabon,4.072905982905984,1053
32,H. P. Lovecraft,4.0608929946112395,1299
695,Emem,4.0583916083916085,286
252,Fred Duval,4.0583916083916085,286
454,Frédéric Blanchard,4.0583916083916085,286
22,Harlan Ellison,4.052905405405406,148
52,Robert A. W. Lowndes,4.0171052631578945,38
3,R. A. Salvatore,4.00046904315197,3198
754,Philippa Evans,4.0,19
752,Caleb Stephens,4.0,17
785,Colum McCann,4.0,304
25,Arthur Conan Doyle,4.0,385
676,Yuval Noah Harari,4.0,496
723,Antoine de Saint-Exupéry,4.0,96
42,Robert E. Howard,4.0,635
545,S. E. Hinton,4.0,208
546,Gawain Poet,4.0,144
551,Paul Tremblay,4.0,287
145,Ronald Malfi,4.0,395
148,Sam J. Lundwall,4.0,6
152,David Kushner,4.0,339
590,Shirley Jackson,4.0,342
115,Oliver Bowden,4.0,430
649,Larry Niven,4.0,917
660,Washington Irving,4.0,108
636,Lawrence Wright,4.0,593
623,Ray Garton,4.0,387
618,Peter Benchley,4.0,320
604,Jonathan L. Howard,4.0,306
585,Thomas Olde Heuvelt,4.0,384
49,Stephen Kinzer,4.0,355
81,David Seltzer,4.0,272
704,Robert Harris,4.0,380
707,John Wyndham,4.0,228
710,Martin D. Brown,4.0,4
722,Robert R. McCammon,4.0,1581
719,Xia Jia,4.0,42
62,Cormac McCarthy,4.0,241
79,Charles Stross,4.0,32
58,Daniel Suarez,4.0,632
699,Gerardo Bartolomé,4.0,256
71,Philip Pullman,4.0,1234
693,Martin Simmonds,4.0,144
682,Robert Graysmith,4.0,307
687,Greg Bear,4.0,20
690,Laird Barron,4.0,263
513,Robert Graves,4.0,468
303,Victor LaValle,4.0,149
378,Robert W. Chambers,4.0,224
390,P. Djèli Clark,4.0,185
397,Thomas Harris,4.0,875
431,Richard Ford,4.0,245
419,Brian Bolland,4.0,50
236,J. G. Ballard,4.0,351
433,David Brin,4.0,321
263,Max Brooks,4.0,342
250,Marguerite Yourcenar,4.0,160
520,Collin Kelly,4.0,208
521,George Orwell,4.0,496
187,Manly Wade Wellman,4.0,6
493,Warren Ellis,4.0,424
480,Koji Suzuki,4.0,282
455,Timothy Ferris,4.0,512
213,Richard P. Feynman,4.0,400
511,Scott Hawkins,4.0,390
311,Jody Houser,4.0,96
336,Grant Morrison,4.0,193
357,Jeff Lemire,4.0,792
359,Noah Gordon,4.0,714
345,Jerry Pournelle,4.0,629
338,Suzanne Collins,4.0,1155
291,Mark Frost,4.0,362
319,Steven L. Kent,4.0,608
321,Orson Scott Card,4.0,324
770,Robert Swindells,4.0,220
765,Gregory Frost,4.0,16
7,Adam Roberts,4.0,256
776,C. B. Jones,4.0,336
13,Felix Blackwell,4.0,324
439,Alfred Bester,3.996525096525096,259
28,Clive Barker,3.996097046413502,474
191,Dennis Lehane,3.9615286624203825,785
494,Aldous Huxley,3.930538922155689,668
33,Isaac Asimov,3.9185714285714286,994
179,John Shirley,3.9072727272727272,55
561,Charles Dickens,3.9,184
10,Clark Ashton Smith,3.8837037037037034,270
15,Walter M. Miller,3.8697916666666665,768
606,Bruce Sterling,3.86046511627907,43
474,Philip José Farmer,3.8460674157303374,89
50,Peter Straub,3.817740549828179,1164
6,Adam Nevill,3.8160695468914647,949
769,Tynan Sylvester,3.8,413
352,R. A. Lafferty,3.78,4
59,James A. Michener,3.778877551020408,2205
202,Lewis Shiner,3.7666666666666666,30
715,Chen Qiufan,3.7580645161290325,62
294,Fred Chappell,3.7567567567567566,74
490,C. L. Werner,3.75,288
144,Gregory Benford,3.75,450
579,Isabel Allende,3.75,432
700,Robert Sheckley,3.75,25
48,Michael Slade,3.75,463
57,L. Sprague de Camp,3.75,5
126,Algernon Blackwood,3.75,105
751,Mark Vail,3.75,428
761,Matt Cardin,3.75,16
60,Dirk Wylie,3.75,9
656,Jeff VanderMeer,3.75,195
783,Elizabeth Strout,3.75,270
241,Angélica Gorodischer,3.75,246
782,Henry Bernard Davis Kettlewell,3.75,144
485,Matthew Kneale,3.75,418
166,James Tiptree,3.75,10
605,Ramsey Campbell,3.75,26
483,Arthur Machen,3.75,389
574,Harry Harrison,3.75,5
779,Jason Stanley,3.75,218
11,E. M. Forster,3.75,54
781,Julian Huxley,3.75,144
292,Michael Crichton,3.75,489
335,Douglas Preston,3.7,480
232,Lincoln Child,3.7,480
325,Cordwainer Smith,3.7,60
230,Robert Silverberg,3.6999999999999997,36
35,Kim Stanley Robinson,3.6746302616609783,1758
469,Brian Lumley,3.6709621993127146,582
118,J. K. Rowling,3.6232437761893026,4057
580,Robert Bloch,3.604343220338983,472
253,Steffan B. Aletti,3.6000000000000005,13
758,Mike Allen,3.6,17
45,Thomas M. Disch,3.590909090909091,44
600,F. Paul Wilson,3.5816459977452086,887
449,Neil Gaiman,3.539243498817967,2115
297,Richard Matheson,3.524838012958963,463
423,Dan Abnett,3.5247524752475248,606
367,Baoshu,3.5,72
406,Ma Boyong,3.5,12
425,Jon Bing,3.5,10
18,Agatha Christie,3.5,264
764,Jay Lake,3.5,8
743,Hao Jingfang,3.5,8
763,John R. Fultz,3.5,11
47,Michael McDowell ,3.5,189
46,Christopher Vogler,3.5,325
54,Frank Belknap Long,3.5,1
692,Pat Cadigan,3.5,9
689,Edward Rutherfurd,3.5,912
646,Tang Fei,3.5,28
620,Michael Swanwick,3.5,26
755,J. L. Kiefer,3.5,12
757,Don Webb,3.5,19
242,Paul Di Filippo,3.5,24
436,Basil Copper,3.5,25
12,Richard Russo,3.5,1088
296,Ellis Peters,3.5,197
358,Doris Piserchia,3.5,16
472,Fred Brooks,3.5,322
504,Lawrence Watt-Evans,3.5,6
196,Keith Francis Strohm,3.5,310
190,Miriam Allen deFord,3.5,11
598,Michael Moorcock,3.5,181
581,Umberto Eco,3.5,623
567,Tom Maddox,3.5,22
182,George Alex Effinger,3.5,288
559,Jack Vance,3.493939393939394,165
53,Brian W. Aldiss,3.454888888888889,225
720,Han Song,3.4545454545454546,22
777,August Derleth,3.4171597633136095,169
133,Roger Zelazny,3.383771929824561,228
478,Frederik Pohl,3.3552631578947367,19
24,Steven Erikson,3.262204724409449,1270
369,Kevin Kelly,3.25,531
662,Felipe Pigna,3.25,556
610,David R. Bunch,3.25,4
388,Mathieu Masmondet,3.25,166
289,Zhang Xiaoyu,3.25,166
766,Brian Stableford,3.25,18
244,Gilles Thomas,3.25,166
199,Dean Koontz,3.25,448
151,William Golding,3.25,364
412,Thomas Ligotti,3.25,33
394,Manuel Van Loggem,3.25,5
14,Julian Barnes,3.230952380952381,105
9,Adrian Tchaikovsky,3.2,298
306,Colleen McCullough,3.2,1076
382,Patrick Rothfuss,3.1895316804407714,1815
223,Ernest Cline,3.17997256515775,729
37,Neal Stephenson,3.1231277533039647,2270
418,Brandon Sanderson,3.1229584261321457,2694
56,John Brunner,3.038135593220339,708
414,T. E. D. Klein,3.0305084745762714,590
287,Rudy Rucker,3.019125683060109,183
189,Guillermo del Toro,3.014787430683919,1082
384,Chuck Hogan,3.014787430683919,1082
94,Dan Brown,3.0134060440808907,4401
664,Theodore Sturgeon,3.0,186
661,Thomas Pynchon,3.0,152
725,Connie Willis,3.0,578
686,Robert F. Young,3.0,13
667,Fei Dao,3.0,26
143,Raymond Chandler,3.0,231
75,Thomas Tryon,3.0,281
105,Edgar Allan Poe,3.0,36
121,Carlos Gardini,3.0,259
217,Gahan Wilson,3.0,30
299,Gu Shi,3.0,16
346,Cheng Jingbo,3.0,12
277,John Scalzi,3.0,318
316,Jaouen Salaün,3.0,64
295,Anna Wul,3.0,14
231,Yevgeny Zamyatin,3.0,226
447,James Patrick Kelly,3.0,39
407,Dennis Wheatley,3.0,670
424,Henry James,3.0,121
386,James Ellroy,3.0,427
401,Poul Anderson,3.0,171
349,Dante Alighieri,3.0,463
324,Zhang Ran,3.0,62
780,Franz Kafka,3.0,72
98,Esther M. Friesner,3.0,21
749,P. J. Plauger,3.0,14
714,James Blish,3.0,256
748,Michael Shea,3.0,24
82,Gene Wolfe,3.0,15
450,Joanna Russ,3.0,9
477,Lester del Rey,3.0,10
259,Samanta Schweblin,3.0,128
254,Douglas Adams,3.0,466
501,Tim Powers,3.0,370
163,Ragina Kanyu Wang,3.0,8
554,Matt Barton,3.0,456
220,Kim Newman,3.0,29
175,Michael McDowell,3.0,292
611,Marc Laidlaw,3.0,16
76,James Clavell,3.0,1152
155,Ildefonso Falcones,3.0,670
499,Paula Hawkins,3.0,336
533,James P. Blaylock,3.0,9
470,Robert Louis Stevenson,3.0,139
599,Caitlín R. Kiernan,2.8618374558303885,566
55,Fred L. Pelton,2.75,50
275,Richard A. Lupoff,2.5416481069042316,449
644,Stanisław Lem,2.5,204
694,David Niall Wilson,2.5,438
164,Steven-Elliot Altman,2.5,438
270,André Carneiro,2.5,7
302,David Ferguson,2.5,438
441,Ken Liu,2.5,640
379,Steve Perry,2.5,438
446,F. Gwynplaine MacIntyre,2.5,438
313,Simon Clark,2.5,438
361,Paul Finch,2.5,438
683,Brian M. Stableford,2.5,438
524,Patricia Lee Macomber,2.5,438
211,James Lowder,2.5,438
210,Barbara Hambly,2.5,438
625,Raymond Khoury,2.5,544
633,Tim Lebbon,2.5,438
66,Elizabeth Bear,2.5,438
84,John P. Vourlis,2.5,438
168,Poppy Z. Brite,2.2972636815920398,804
69,Bernard Cornwell,2.25,333
309,John le Carré,2.0,212
426,Wilbur Smith,2.0,718
368,Christopher Golden,2.0,322
374,Tracy Hickman,2.0,444
373,Anthony Doerr,2.0,531
342,John W. Campbell,2.0,161
77,Terry Pratchett,2.0,228
635,Hugh Howey,2.0,509
92,Marcos Aguinis,2.0,688
563,Walter Scott,2.0,496
457,Joe Abercrombie,2.0,515
459,Jon Peterson,2.0,368
204,Marcus Aurelius,2.0,182
632,Justin Cronin,2.0,784
718,Margaret Weis,2.0,444
721,Michael Moynihan,2.0,405
101,Dmitry Glukhovsky,2.0,458
428,Maurice Druon,1.5,340
535,Tad Williams,1.5,672
293,C. S. Lewis,1.0,206
383,Robert Jordan,1.0,800
464,Colin Wilson,1.0,628
